Intent,Category,Num Keywords,Num Sources,Issues Found,Severity,Suggested Fix
tax_bill_help,finance,37,3,"Answer doesn't mention OAPD exceptions for seniors with delinquent taxes. FY-specific income details will become stale.",Low,"Add brief mention of OAPD exceptions. Add last-reviewed date."
senior_disabled_tax_relief,finance,27,3,"'senior' 'elderly' 'disabled' overlap with senior_services. 'can't pay property tax' could steal from tax_bill_help for non-seniors.",Medium,"Remove 'can't pay property tax' — it belongs in tax_bill_help unless combined with age keywords."
real_estate_tax_wrong,finance,22,3,"Keywords 'address change' 'escrow' 'mortgage company' 'refund' are general tax account issues not about a WRONG bill. 3rd source (RVAPay) is tangential.",Medium,"Move 'address change' 'escrow' 'mortgage company' to tax_bill_help. Replace RVAPay source."
personal_property_tax_car,finance,12,3,"Only 12 keywords. 'car' alone is very generic. Missing: 'car tax due date' 'personal property tax due'.",Medium,"Add more specific multi-word phrases."
pay_parking_ticket,finance,12,2,"'parking violation' also in residential_parking — collision. 'towed' also in towed_vehicle — WRONG INTENT for towed queries.",Medium,"Remove 'towed' (belongs in towed_vehicle). Change 'parking violation' to 'parking ticket violation'."
utility_bill_help,utilities,23,2,"'shut off' overlaps with energy_heating_assistance. Deadline mentions 'Sept 1 2025' policy — needs staleness check.",Low,"Add date-check mechanism."
water_safety,utilities,18,1,"Answer references 'January 2025 crisis' — now 14+ months old. Only 1 source. Missing keywords: 'lead' 'water test'.",Medium,"Rewrite answer to be more evergreen. Add water quality page source. Add 'lead' keyword."
utility_bill_wrong,utilities,19,2,No significant issues found.,None,N/A
apply_snap_food,social_services,18,3,"FY2026 income limits hard-coded — will become outdated. 'food' alone is generic.",Low,"Add last-verified date. Change 'food' to 'food stamps' or 'food assistance'."
apply_medicaid,social_services,18,2,"'doctor' and 'prescription' too generic — could match unrelated medical queries.",Low,"Change to 'need a doctor' and 'can't afford prescription'."
rent_help,social_services,16,1,"Only 1 source. 'eviction' overlaps with legal_aid. 'homeless'/'shelter' in keywords could compete with crisis pattern. 'housing' is very generic.",Medium,"Add more sources (211 link). Remove 'homeless'/'shelter' — these should only be in crisis patterns."
benefits_status_check,social_services,9,2,"Only 9 keywords — fewest in social services. Missing: 'EBT card' 'case closed' 'denial letter' 'recertification'. 'status' alone is extremely generic.",Medium,"Add 10+ specific keywords. Remove bare 'status'."
where_to_go_in_person,social_services,9,1,"Only 9 keywords. 'address' and 'office' are very generic. Only 1 source.",Medium,"Add multi-word keywords. Remove bare 'address' and 'office'."
energy_heating_assistance,social_services,17,2,"'gas turned off' overlaps with utility_bill_help. 'no gas' is ambiguous (car gas?).",Low,"Change 'no gas' to 'no gas heat'. Add 'weatherization' keyword."
childcare_help,social_services,8,2,"Only 8 keywords. 'preschool' overlaps with school_enrollment.",Low,"Add 'child care voucher' 'child care subsidy' 'child care cost'."
school_enrollment,social_services,10,1,"'preschool' overlaps with childcare_help. Only 1 source.",Low,"Add Head Start / VPI source."
